F9,F7,F3,Fz,F4,F8,F10,FC5,FC1,FC2,FC6,T9,T7,C3,C4,T8,T10,CP5,CP1,CP2,CP6,P9,P7,P3,Pz,P4,P8,P10
11.8261,19.936,23.3999,19.2943,-0.6458,6.0403,17.5118,11.783,9.0446,-7.691,-12.4631,0.2119,4.4114,1.3584,1.23,-4.0978,-15.5049,-7.047,1.972,-11.0412,-17.0643,-16.4914,-10.1078,3.5437,10.8464,4.6114,7.7188,5.2734
9.5245,16.4173,19.253,15.663,-1.1595,3.8648,13.2597,8.4799,5.7838,-8.0766,-12.2415,-1.667,1.8058,-0.3407,-0.5954,-4.9803,-15.0248,-7.5369,0.138,-11.1981,-16.1301,-14.8477,-10.0444,1.2919,8.0592,2.6989,6.8122,3.7941
10.5321,19.1887,22.3137,17.34,-0.6775,5.6071,16.3123,12.3042,9.2312,-5.7926,-10.079,1.1334,6.0051,1.7702,-0.6546,-3.1019,-12.8466,-4.4633,2.0668,-9.2156,-14.6538,-13.7182,-9.6596,2.0853,9.1453,2.2902,4.8167,3.6379
12.2028,21.8189,23.7103,19.5758,0.9607,10.2701,22.3197,17.9281,17.5195,-0.5523,-5.4359,8.103,14.3051,5.0121,0.9774,-0.2361,-8.0292,-0.3512,4.6052,-4.9742,-10.588,-11.7018,-7.0741,3.47,8.2008,2.346,3.1083,3.781
11.8388,21.1753,20.6134,18.6672,1.5005,11.8741,23.1499,17.998,20.6624,1.559,-4.1287,10.571,16.9037,3.427,-1.1964,-1.6172,-6.7125,-0.5932,2.8253,-4.4155,-8.926,-10.5815,-6.5178,0.706,2.941,-0.2524,2.3789,2.1168
11.4371,20.8672,18.6861,17.8294,1.8155,12.9514,23.7528,18.5615,23.1248,3.4084,-2.7304,12.6348,19.3877,2.7599,-3.0362,-2.1455,-5.3058,-0.0245,1.7421,-3.6863,-7.4627,-9.3943,-6.2613,-1.5335,-0.8662,-2.6145,1.1839,0.6468
11.9923,21.3471,18.512,18.4753,3.2406,15.6646,26.5195,21.1229,27.2189,7.3569,1.3086,16.7125,23.5557,4.7553,-0.9455,0.2591,-0.7192,3.2271,4.2337,0.4703,-3.049,-6.5894,-2.8162,1.0155,-0.3287,-1.1581,-0.0426,1.2187
11.6977,21.0011,17.305,18.1612,3.9745,15.8324,25.5659,19.3953,25.949,8.2727,2.09,15.8484,21.7032,2.2032,-1.8934,-1.101,0.6303,3.0099,4.4695,1.7265,-0.7463,-4.3846,-0.6155,2.3279,-0.2238,-0.1636,-0.4874,1.089
9.9852,18.2463,12.9656,15.5668,3.544,13.6462,21.0938,14.0536,21.4077,6.3354,-0.1729,11.9395,16.2875,-3.1414,-5.4804,-5.3594,-1.4712,-0.7136,1.0534,-0.5739,-1.4247,-3.9778,-1.0208,-0.3548,-3.8479,-1.7803,0.1516,-0.4388
8.0745,14.7807,7.9832,12.5284,2.7937,11.1759,16.3683,8.5682,16.9503,3.84,-2.9248,8.1097,11.0117,-7.9059,-8.6663,-9.4307,-4.2637,-4.9154,-2.9559,-3.5815,-3.0091,-4.4849,-2.1844,-3.8874,-8.2124,-3.855,1.3319,-1.985
5.2662,10.4722,2.6678,8.0812,1.3084,7.5437,10.4238,3.3512,11.9162,0.9771,-5.563,4.144,6.2901,-11.438,-12.5285,-12.5857,-7.1497,-8.2657,-7.5235,-7.0123,-5.2616,-5.0829,-4.799,-9.2771,-13.5218,-7.8196,1.4943,-4.385
